A    aa
ACI-ACI    aa ch ih aa ch ih
ACIK    aa ch ih k
ACO    aa ch ao
ACO-ACOAN    aa ch ao aa ch ao aa n
ACU    aa ch uw
ACUH    aa ch uw hh
ACUM    aa ch uw m
ACUNG    aa ch uw ng
AD    aa d
ADA    aa d aa
ADAB    aa d aa b
ADAD    aa d aa d
ADAGIO    aa d aa g ih ao
ADAGIUM    aa d aa g ih uw m
ADAKALA    aa d aa k aa l aa
ADAKALANYA    aa d aa k aa l aa ny aa
ADAKAN    aa d aa k aa n
ADAKS    aa d aa k s
ADAKTIL    aa d aa k t ih l
ADALAH    aa d aa l aa hh
ADALAT    aa d aa l aa t
ADAM    aa d aa m
ADAN    aa d aa n
ADANG    aa d aa ng
ADANG-ADANG    aa d aa ng aa d aa ng
ADAP    aa d aa p
ADAPTABEL    aa d aa p t aa b ## l
ADAPTABILITAS    aa d aa p t aa b ih l ih t aa s
ADAPTASI    aa d aa p t aa s ih
ADAPTIF    aa d aa p t ih f
ADAPTOMETER    aa d aa p t ao m ## t ## r
ADAPTOR    aa d aa p t ao r
ADAPUN    aa d aa p uw n
ADAR    aa d aa r
ADAS    aa d aa s
ADAT    aa d aa t
ADATI    aa d aa t ih
ADEGAN    aa d ## g aa n
ADEH    aa d ## hh
ADEKUAT    aa d ## k uw aa t
ADEM    aa d ## m
ADEMPAUZE    aa d ## m p ## z ##
ADENDUM    aa d ## n d uw m
ADENOID    aa d ## n ## d
ADENOMA    aa d ## n ao m aa
ADENOSIS    aa d ## n ao s ih s
ADHESI    aa d hh ## s ih
ADHESIF    aa d hh ## s ih f
ADI    aa d ih
ADIABATIK    aa d ih aa b aa t ih k
ADIABATIS    aa d ih aa b aa t ih s
ADIAKTINIK    aa d ih aa k t ih n ih k
ADIB    aa d ih b
ADIBANGKIT    aa d ih b aa ng k ih t
ADIBINTANG    aa d ih b ih n t aa ng
ADIBOGA    aa d ih b ao g aa
ADIBUSANA    aa d ih b uw s aa n aa
ADICITA    aa d ih ch ih t aa
ADIDAYA    aa d ih d aa y aa
ADIGANG    aa d ih g aa ng
ADIGUNA    aa d ih g uw n aa
ADIGUNG    aa d ih g uw ng
ADIK    aa d ih k
ADIKA    aa d ih k aa
ADIKARA    aa d ih k aa r aa
ADIKARYA    aa d ih k aa r y aa
ADIKODRATI    aa d ih k ao d r aa t ih
ADIKONG    aa d ih k ao ng
ADIKSI    aa d ih k s ih
ADIKTIF    aa d ih k t ih f
ADIKUASA    aa d ih k uw aa s aa
ADIL    aa d ih l
ADILUHUNG    aa d ih l uw hh uw ng
ADIMARGA    aa d ih m aa r g aa
ADINDA    aa d ih n d aa
ADING    aa d ih ng
ADIPATI    aa d ih p aa t ih
ADIPENGHANTAR    aa d ih p ## ng hh aa n t aa r
ADIPOSA    aa d ih p ao s aa
ADIPOSITAS    aa d ih p ao s ih t aa s
ADIPURA    aa d ih p uw r aa
ADIRAJA    aa d ih r aa jh aa
ADIRATNA    aa d ih r aa t n aa
ADISI    aa d ih s ih
ADISIONAL    aa d ih s ih ao n aa l
ADISISWA    aa d ih s ih s w aa
ADITIF    aa d ih t ih f
ADITOKOH    aa d ih t ao k ao hh
ADIWANGSA    aa d ih w aa ng s aa
ADIWARNA    aa d ih w aa r n aa
ADIWIDIA    aa d ih w ih d ih aa
ADJEKTIF    aa d jh ## k t ih f
ADJEKTIVA    aa d jh ## k t ih f aa
ADJEKTIVAL    aa d jh ## k t ih f aa l
ADJUVAN    aa d jh uw f aa n
ADMINISTRASI    aa d m ih n ih s t r aa s ih
ADMINISTRATIF    aa d m ih n ih s t r aa t ih f
ADMINISTRATOR    aa d m ih n ih s t r aa t ao r
ADMIRAL    aa d m ih r aa l
ADMISI    aa d m ih s ih
ADMITANS    aa d m ih t aa n s
ADNAN    aa d n aa n
ADOLESENS    aa d ao l ## s ## n s
ADON    aa d ao n
ADOPSI    aa d ao p s ih
ADOPTIF    aa d ao p t ih f
ADPERTENSI    aa d p ## r t ## n s ih
ADRENAL    aa d r ## n aa l
ADRENALIN    aa d r ## n aa l ih n
ADRENERGIK    aa d r ## n ## r g ih k
ADRES    aa d r ## s
ADSORBEN    aa d s ao r b ## n
ADSORPI    aa d s ao r p ih
ADSORPSI    aa d s ao r p s ih
ADSTRINGEN    aa d s t r ih ng ## n
ADU    aa d uw
ADUH    aa d uw hh
ADUHAI    aa d uw hh ##
ADUK    aa d uw k
ADUKSI    aa d uw k s ih
ADUKTOR    aa d uw k t ao r
ADUN    aa d uw n
ADVEKSI    aa d f ## k s ih
ADVEN    aa d f ## n
ADVENTISIA    aa d f ## n t ih s ih aa
ADVENTISIUS    aa d f ## n t ih s ih uw s
ADVERBIA    aa d f ## r b ih aa
ADVERBIAL    aa d f ## r b ih aa l
ADVERTENSI    aa d f ## r t ## n s ih
ADVIS    aa d f ih s
ADVOKAD    aa d f ao k aa d
ADVOKASI    aa d f ao k aa s ih
ADVOKAT    aa d f ao k aa t
AERASI    aa ## r aa s ih
AERATOR    aa ## r aa t ao r
AEROB    aa ## r ao b
AEROBATIK    aa ## r ao b aa t ih k
AEROBIK    aa ## r ao b ih k
AEROBIKA    aa ## r ao b ih k aa
AERODINAMIK    aa ## r ao d ih n aa m ih k
AERODINAMIKA    aa ## r ao d ih n aa m ih k aa
AEROFISIKA    aa ## r ao f ih s ih k aa
AEROFISIOLOGI    aa ## r ao f ih s ih ao l ao g ih
AEROFON    aa ## r ao f ao n
AEROGRAM    aa ## r ao g r aa m
AEROLIT    aa ## r ao l ih t
AEROLOGI    aa ## r ao l ao g ih
AEROMETER    aa ## r ao m ## t ## r
AEROMOVEL    aa ## r ao m ao f ## l
AERONAUTIKA    aa ## r ao n ## t ih k aa
AEROPLANGTON    aa ## r ao p l aa ng t ao n
AEROPLANKTON    aa ## r ao p l aa n k t ao n
AEROSKOP    aa ## r ao s k ao p
AEROSOL    aa ## r ao s ao l
AEROSTAT    aa ## r ao s t aa t
AEROSTATIKA    aa ## r ao s t aa t ih k aa
AESTETIKA    aa ## s t ## t ih k aa
AFAIR    aa f ## r
AFAL    aa f aa l
AFASIA    aa f aa s ih aa
AFDAL    aa f d aa l
AFDELING    aa f d ## l ih ng
AFDRUK    aa f d r uw k
AFEK    aa f ## k
AFEKSI    aa f ## k s ih
AFEKTIF    aa f ## k t ih f
AFERESIS    aa f ## r ## s ih s
AFIAT    aa f ih aa t
AFIDAVIT    aa f ih d aa f ih t
AFIKS    aa f ih k s
AFIKSASI    aa f ih k s aa s ih
AFILIASI    aa f ih l ih aa s ih
AFINITAS    aa f ih n ih t aa s
AFIRMASI    aa f ih r m aa s ih
AFIRMATIF    aa f ih r m aa t ih f
AFONIA    aa f ao n ih aa
AFORISME    aa f ao r ih s m ##
AFOTIK    aa f ao t ih k
AFRASIA    aa f r aa s ih aa
AFRIKAT    aa f r ih k aa t
AFRIT    aa f r ih t
AFRODISIAK    aa f r ao d ih s ih aa k
AFSUN    aa f s uw n
AFWAH    aa f w aa hh
AGA    aa g aa
AGAH    aa g aa hh
AGAK    aa g aa k
AGAK-AGIH    aa g aa k aa g ih hh
AGAL    aa g aa l
AGALAKSIA    aa g aa l aa k s ih aa
AGAM    aa g aa m
AGAMA    aa g aa m aa
AGAMAIS    aa g aa m ## s
AGAMAWI    aa g aa m aa w ih
AGAMEN    aa g aa m ## n
AGAMET    aa g aa m ## t
AGAMI    aa g aa m ih
AGAMOGENESIS    aa g aa m ao g ## n ## s ih s
AGAN    aa g aa n
AGAPE    aa g aa p ##
AGAR    aa g aa r
AGAR-AGAR    aa g aa r aa g aa r
AGAS    aa g aa s
AGEN    aa g ## n
AGENDA    aa g ## n d aa
AGENS    aa g ## n s
AGENTIF    aa g ## n t ih f
AGIH    aa g ih hh
AGIL    aa g ih l
AGIO    aa g ih ao
AGIRIA    aa g ih r ih aa
AGITASI    aa g ih t aa s ih
AGITATIF    aa g ih t aa t ih f
AGITATOR    aa g ih t aa t ao r
AGLIKON    aa g l ih k ao n
AGLOMERASI    aa g l ao m ## r aa s ih
AGLOMERAT    aa g l ao m ## r aa t
AGLUTINASI    aa g l uw t ih n aa s ih
AGLUTINAT    aa g l uw t ih n aa t
AGLUTINATIF    aa g l uw t ih n aa t ih f
AGLUTININ    aa g l uw t ih n ih n
AGNOSIA    aa g n ao s ih aa
AGNOSTIK    aa g n ao s t ih k
AGNOSTISISME    aa g n ao s t ih s ih s m ##
AGOGO    aa g ao g ao
AGOMETER    aa g ao m ## t ## r
AGON    aa g ao n
AGONIA    aa g ao n ih aa
AGONIS    aa g ao n ih s
AGONISTIK    aa g ao n ih s t ih k
AGORAFOBIA    aa g ao r aa f ao b ih aa
AGRADASI    aa g r aa d aa s ih
AGRAFIA    aa g r aa f ih aa
AGRARIA    aa g r aa r ih aa
AGRARIS    aa g r aa r ih s
AGREGASI    aa g r ## g aa s ih
AGREGAT    aa g r ## g aa t
AGREGATIF    aa g r ## g aa t ih f
AGRESI    aa g r ## s ih
AGRESIF    aa g r ## s ih f
AGRESIVITAS    aa g r ## s ih f ih t aa s
AGRESOR    aa g r ## s ao r
AGRIOLOGI    aa g r ih ao l ao g ih
AGRIPNIA    aa g r ih p n ih aa
AGRISILVIKULTUR    aa g r ih s ih l f ih k uw l t uw r
AGROBIS    aa g r ao b ih s
AGROBISNIS    aa g r ao b ih s n ih s
AGROEKONOMI    aa g r ao ## k ao n ao m ih
AGROEKOSISTEM    aa g r ao ## k ao s ih s t ## m
AGROGEOLOGI    aa g r ao g ## ao l ao g ih
AGROIKOS    aa g r ## k ao s
AGROINDUSTRI    aa g r ## n d uw s t r ih
AGROKIMIA    aa g r ao k ih m ih aa
AGRONOM    aa g r ao n ao m
AGRONOMI    aa g r ao n ao m ih
AGROSTOLOGI    aa g r ao s t ao l ao g ih
AGROWISATA    aa g r ao w ih s aa t aa
AGUK    aa g uw k
AGUL    aa g uw l
AGUN    aa g uw n
AGUNG    aa g uw ng
AGUS    aa g uw s
AGUSTUS    aa g uw s t uw s
AGUT    aa g uw t
AGUT-AGUT    aa g uw t aa g uw t
AH    aa hh
AHAD    aa hh aa d
AHADIAT    aa hh aa d ih aa t
AHIMSA    aa hh ih m s aa
AHISTORIS    aa hh ih s t ao r ih s
AHKAM    aa hh k aa m
AHLAN    aa hh l aa n
AHLI    aa hh l ih
AHLULBAIT    aa hh l uw l b ## t
AHLULKITAB    aa hh l uw l k ih t aa b
AHLULKUBUR    aa hh l uw l k uw b uw r
AHLUNUJUM    aa hh l uw n uw jh uw m
AHLUSULUK    aa hh l uw s uw l uw k
AHLUSUNAH    aa hh l uw s uw n aa hh
AHMAK    aa hh m aa k
AHMAR    aa hh m aa r
AHO    aa hh ao
AHSAN    aa hh s aa n
AHWAL    aa hh w aa l
AI    ##
AIB    ## b
AIN    ## n
AINULBANAT    ## n uw l b aa n aa t
AINULYAKIN    ## n uw l y aa k ih n
AINUNJARIAH    ## n uw n jh aa r ih aa hh
AIR    ## r
AJA    aa jh aa
AJAB    aa jh aa b
AJAIB    aa jh ## b
AJAIBKHANAH    aa jh ## b hh aa n aa hh
AJAK    aa jh aa k
AJAL    aa jh aa l
AJANG    aa jh aa ng
AJAR    aa jh aa r
AJAR-AJAR    aa jh aa r aa jh aa r
AJEK    aa jh ## k
AJEKTIFA    aa jh ## k t ih f aa
AJEKTIVA    aa jh ## k t ih f aa
AJENGAN    aa jh ## ng aa n
AJI    aa jh ih
AJI-AJI    aa jh ih aa jh ih
AJIGINENG    aa jh ih g ih n ## ng
AJIMUMPUNG    aa jh ih m uw m p uw ng
AJIR    aa jh ih r
AJISAKA    aa jh ih s aa k aa
AJNABI    aa jh n aa b ih
AJNAS    aa jh n aa s
AJOJING    aa jh ao jh ih ng
AJRE    aa jh r ##
AJU    aa jh uw
AJUDAN    aa jh uw d aa n
AJUFAN    aa jh uw f aa n
AJUJAH    aa jh uw jh aa hh
AJUK    aa jh uw k
AJUN    aa jh uw n
AJUNG    aa jh uw ng
AJUR    aa jh uw r
AJUSTER    aa jh uw s t ## r
AKAD    aa k aa d
AKADEMI    aa k aa d ## m ih
AKADEMIK    aa k aa d ## m ih k
AKADEMIKUS    aa k aa d ## m ih k uw s
AKADEMIS    aa k aa d ## m ih s
AKADEMISI    aa k aa d ## m ih s ih
AKAID    aa k ## d
AKAK    aa k aa k
AKAL    aa k aa l
AKAN    aa k aa n
AKANG    aa k aa ng
AKAPELA    aa k aa p ## l aa
AKAR    aa k aa r
AKAS    aa k aa s
AKASIA    aa k aa s ih aa
AKATALEPSIA    aa k aa t aa l ## p s ih aa
AKBAR    aa k b aa r
AKENE    aa k ## n ##
AKEO    aa k ## ao
AKH    aa hh
AKHBAR    aa hh b aa r
AKHIR    aa hh ih r
AKHIRAT    aa hh ih r aa t
AKHIRULKALAM    aa hh ih r uw l k aa l aa m
AKHLAK    aa hh l aa k
AKHLAKI    aa hh l aa k ih
AKHWAN    aa hh w aa n
AKI    aa k ih
AKIBAT    aa k ih b aa t
AKIDAH    aa k ih d aa hh
AKIK    aa k ih k
AKIKAH    aa k ih k aa hh
AKIL    aa k ih l
AKLAMASI    aa k l aa m aa s ih
AKLASIA    aa k l aa s ih aa
AKLI    aa k l ih
AKLIAH    aa k l ih aa hh
AKLIMASI    aa k l ih m aa s ih
AKLIMATISASI    aa k l ih m aa t ih s aa s ih
AKMAL    aa k m aa l
AKOLADE    aa k ao l aa d ##
AKOMODASI    aa k ao m ao d aa s ih
AKOMODATIF    aa k ao m ao d aa t ih f
AKOR    aa k ao r
AKORDEON    aa k ao r d ## ao n
AKRAB    aa k r aa b
AKRAWATI    aa k r aa w aa t ih
AKREDITASI    aa k r ## d ih t aa s ih
AKRIFLAVINA    aa k r ih f l aa f ih n aa
AKRILAT    aa k r ih l aa t
AKRILIK    aa k r ih l ih k
AKROBAT    aa k r ao b aa t
AKROBATIK    aa k r ao b aa t ih k
AKROFOBIA    aa k r ao f ao b ih aa
AKROMEGALI    aa k r ao m ## g aa l ih
AKROMETER    aa k r ao m ## t ## r
AKROMION    aa k r ao m ih ao n
AKRONIM    aa k r ao n ih m
AKSA    aa k s aa
AKSARA    aa k s aa r aa
AKSARAWAN    aa k s aa r aa w aa n
AKSARAWATI    aa k s aa r aa w aa t ih
AKSELERAN    aa k s ## l ## r aa n
AKSELERASI    aa k s ## l ## r aa s ih
AKSELERATOR    aa k s ## l ## r aa t ao r
AKSELEROMETER    aa k s ## l ## r ao m ## t ## r
AKSEN    aa k s ## n
AKSENTOLOGI    aa k s ## n t ao l ao g ih
AKSENTUASI    aa k s ## n t uw aa s ih
AKSEP    aa k s ## p
AKSEPTABEL    aa k s ## p t aa b ## l
AKSEPTABILITAS    aa k s ## p t aa b ih l ih t aa s
AKSEPTASI    aa k s ## p t aa s ih
AKSEPTOR    aa k s ## p t ao r
AKSES    aa k s ## s
AKSESIBILITAS    aa k s ## s ih b ih l ih t aa s
AKSESORI    aa k s ## s ao r ih
AKSI    aa k s ih
AKSIDENTAL    aa k s ih d ## n t aa l
AKSILA    aa k s ih l aa
AKSIOLOGI    aa k s ih ao l ao g ih
AKSIOMA    aa k s ih ao m aa
AKSIOMATIS    aa k s ih ao m aa t ih s
AKSIS    aa k s ih s
AKSON    aa k s ao n
AKSOSTIL    aa k s ao s t ih l
AKTA    aa k t aa
AKTENTAS    aa k t ## n t aa s
AKTIF    aa k t ih f
AKTING    aa k t ih ng
AKTINIDA    aa k t ih n ih d aa
AKTINIK    aa k t ih n ih k
AKTINISME    aa k t ih n ih s m ##
AKTINIUM    aa k t ih n ih uw m
AKTINOKIMIA    aa k t ih n ao k ih m ih aa
AKTINOLIT    aa k t ih n ao l ih t
AKTINOMETER    aa k t ih n ao m ## t ## r
AKTIVA    aa k t ih f aa
AKTIVIS    aa k t ih f ih s
AKTIVISME    aa k t ih f ih s m ##
AKTIVITAS    aa k t ih f ih t aa s
AKTOR    aa k t ao r
AKTRIS    aa k t r ih s
AKTUAL    aa k t uw aa l
AKTUALISASI    aa k t uw aa l ih s aa s ih
AKTUARIA    aa k t uw aa r ih aa
AKTUARIS    aa k t uw aa r ih s
AKU    aa k uw
AKUA    aa k uw aa
AKUADES    aa k uw aa d ## s
AKUADUK    aa k uw aa d uw k
AKUAKULTUR    aa k uw aa k uw l t uw r
AKUALUNG    aa k uw aa l uw ng
AKUAMARIN    aa k uw aa m aa r ih n
AKUAN    aa k uw aa n
AKUAREL    aa k uw aa r ## l
AKUARIS    aa k uw aa r ih s
AKUARIUM    aa k uw aa r ih uw m
AKUARIUS    aa k uw aa r ih uw s
AKUATIK    aa k uw aa t ih k
AKUIFER    aa k uw ih f ## r
AKUISISI    aa k uw ih s ih s ih
AKUK    aa k uw k
AKULTURASI    aa k uw l t uw r aa s ih
AKUMULASI    aa k uw m uw l aa s ih
AKUMULATIF    aa k uw m uw l aa t ih f
AKUMULATOR    aa k uw m uw l aa t ao r
AKUN    aa k uw n
AKUNTABEL    aa k uw n t aa b ## l
AKUNTABILITAS    aa k uw n t aa b ih l ih t aa s
AKUNTAN    aa k uw n t aa n
AKUNTANSI    aa k uw n t aa n s ih
AKUPUNGTUR    aa k uw p uw ng t uw r
AKUPUNGTURIS    aa k uw p uw ng t uw r ih s
AKUPUNKTUR    aa k uw p uw n k t uw r
AKUR    aa k uw r
AKURASI    aa k uw r aa s ih
AKURAT    aa k uw r aa t
AKUSATIF    aa k uw s aa t ih f
AKUSTIK    aa k uw s t ih k
AKUSTIKA    aa k uw s t ih k aa
AKUT    aa k uw t
AKWAL    aa k w aa l
AL    aa l
ALA    aa l aa
ALABANGKA    aa l aa b aa ng k aa
ALABIO    aa l aa b ih ao
ALAF    aa l aa f
ALAH    aa l aa hh
ALAI    aa l ##
ALAI-BELAI    aa l ## b ## l ##
ALAIHISALAM    aa l ## hh ih s aa l aa m
ALAIKA    aa l ## k aa
ALAIKUM    aa l ## k uw m
ALAK    aa l aa k
ALALIA    aa l aa l ih aa
ALAM    aa l aa m
ALAMAH    aa l aa m aa hh
ALAMAK    aa l aa m aa k
ALAMANDA    aa l aa m aa n d aa
ALAMAS    aa l aa m aa s
ALAMAT    aa l aa m aa t
ALAMATULHAYAT    aa l aa m aa t uw l hh aa y aa t
ALAMI    aa l aa m ih
ALAMIAH    aa l aa m ih aa hh
ALAMIN    aa l aa m ih n
ALAN-ALAN    aa l aa n aa l aa n
ALANG    aa l aa ng
ALANG-ALANG    aa l aa ng aa l aa ng
ALANGKAH    aa l aa ng k aa hh
ALANTOIS    aa l aa n t ## s
ALAP    aa l aa p
ALAP-ALAP    aa l aa p aa l aa p
ALARM    aa l aa r m
ALAS    aa l aa s
ALAT    aa l aa t
ALAU    aa l ##
ALAWAR    aa l aa w aa r
ALAZON    aa l aa z ao n
ALBANAT    aa l b aa n aa t
ALBAS    aa l b aa s
ALBATROS    aa l b aa t r ao s
ALBEDO    aa l b ## d ao
ALBEDOMETER    aa l b ## d ao m ## t ## r
ALBINISME    aa l b ih n ih s m ##
ALBINO    aa l b ih n ao
ALBINOID    aa l b ih n ## d
ALBIT    aa l b ih t
ALBUGINEA    aa l b uw g ih n ## aa
ALBUM    aa l b uw m
ALBUMEN    aa l b uw m ## n
ALBUMIN    aa l b uw m ih n
ALBUMINOIT    aa l b uw m ih n ## t
ALBUMINOMETER    aa l b uw m ih n ao m ## t ## r
ALBUMINURIA    aa l b uw m ih n uw r ih aa
ALDEHIDA    aa l d ## hh ih d aa
ALEGORI    aa l ## g ao r ih
ALEGORIS    aa l ## g ao r ih s
ALEKSANDRIT    aa l ## k s aa n d r ih t
ALEKSIA    aa l ## k s ih aa
ALEKSIN    aa l ## k s ih n
ALEL    aa l ## l
ALEM    aa l ## m
ALERGEN    aa l ## r g ## n
ALERGI    aa l ## r g ih
ALERGIS    aa l ## r g ih s
ALF    aa l f
ALFA    aa l f aa
ALFABET    aa l f aa b ## t
ALFABETIS    aa l f aa b ## t ih s
ALFAKTORIUS    aa l f aa k t ao r ih uw s
ALFANUMERIK    aa l f aa n uw m ## r ih k
ALFERES    aa l f ## r ## s
ALGA    aa l g aa
ALGILIK    aa l g ih l ih k
ALGOID    aa l g ## d
ALGOJO    aa l g ao jh ao
ALGOLOGI    aa l g ao l ao g ih
ALGOMETER    aa l g ao m ## t ## r
ALGORITME    aa l g ao r ih t m ##
ALGRAFI    aa l g r aa f ih
ALHAMDULILLAH    aa l hh aa m d uw l ih l l aa hh
ALHASIL    aa l hh aa s ih l
ALI    aa l ih
ALI-ALI    aa l ih aa l ih
ALIANSI    aa l ih aa n s ih
ALIAS    aa l ih aa s
ALIASE    aa l ih aa s ##
ALIBI    aa l ih b ih
ALIENASI    aa l ih ## n aa s ih
ALIF    aa l ih f
ALIFATIK    aa l ih f aa t ih k
ALIFBATA    aa l ih f b aa t aa
ALIH    aa l ih hh
ALIH-ALIH    aa l ih hh aa l ih hh
ALIHRAGAM    aa l ih hh r aa g aa m
ALIK    aa l ih k
ALIKUOT    aa l ih k uw ao t
ALIM    aa l ih m
ALIMBUBU    aa l ih m b uw b uw
ALIMENTASI    aa l ih m ## n t aa s ih
ALIMENTER    aa l ih m ## n t ## r
ALIMIAH    aa l ih m ih aa hh
ALIMIAT    aa l ih m ih aa t
ALIMUN    aa l ih m uw n
ALIN    aa l ih n
ALINEA    aa l ih n ## aa
ALING    aa l ih ng
ALIP    aa l ih p
ALIR    aa l ih r
ALIS    aa l ih s
ALISIKLIK    aa l ih s ih k l ih k
ALIT    aa l ih t
ALITERASI    aa l ih t ## r aa s ih
ALIZARIN    aa l ih z aa r ih n
ALJABAR    aa l jh aa b aa r
ALJALIL    aa l jh aa l ih l
ALKABIR    aa l k aa b ih r
ALKADIM    aa l k aa d ih m
ALKADIR    aa l k aa d ih r
ALKAH    aa l k aa hh
ALKALI    aa l k aa l ih
ALKALINITAS    aa l k aa l ih n ih t aa s
ALKALIS    aa l k aa l ih s
ALKALOID    aa l k aa l ## d
ALKALOMETRI    aa l k aa l ao m ## t r ih
ALKAMAR    aa l k aa m aa r
ALKANA    aa l k aa n aa
ALKARI    aa l k aa r ih
ALKASYAF    aa l k aa sh aa f
ALKAUSAR    aa l k ## s aa r
ALKENA    aa l k ## n aa
ALKIL    aa l k ih l
ALKIMIA    aa l k ih m ih aa
ALKISAH    aa l k ih s aa hh
ALKITAB    aa l k ih t aa b
ALKOHOL    aa l k ao hh ao l
ALKOHOLIS    aa l k ao hh ao l ih s
ALKOHOLISASI    aa l k ao hh ao l ih s aa s ih
ALKOHOLISME    aa l k ao hh ao l ih s m ##
ALKOHOLOMETER    aa l k ao hh ao l ao m ## t ## r
ALKU    aa l k uw
ALKUNA    aa l k uw n aa
ALKUS    aa l k uw s
ALLAH    aa l l aa hh
ALLAHU    aa l l aa hh uw
ALLAHUMA    aa l l aa hh uw m aa
ALMAKTUB    aa l m aa k t uw b
ALMALIK    aa l m aa l ih k
ALMALUN    aa l m aa l uw n
ALMAMATER    aa l m aa m aa t ## r
ALMANAK    aa l m aa n aa k
ALMANDIN    aa l m aa n d ih n
ALMANDINA    aa l m aa n d ih n aa
ALMANDIT    aa l m aa n d ih t
ALMARHUM    aa l m aa r hh uw m
ALMARHUMAH    aa l m aa r hh uw m aa hh
ALMASIH    aa l m aa s ih hh
ALMUAZAM    aa l m uw aa z aa m
ALMUKHLIS    aa l m uw hh l ih s
ALOBAR    aa l ao b aa r
